,command,type,SequenceNumber,preamble,TimeofDay,AmbientTemperature,RelativeHumidity,BarometricPressure,WindSpeed,WindDirection,NumberofLoopsTemps,TimelineName1,Temperature1,TimelineName2,Temperature2,TimelineName3,Temperature3,TimelineName4,Temperature4,HeatIndex,DewPoint
59,$WÂ,NÂ,31Â,R.IÂ,1CFD223CÂ,4EÂ,3FÂ,B65Â,2Â,10Â,4Â,T1TÂ,FBEÂ,T2TÂ,F00Â,T3Â,1068Â,T4TÂ,104AÂ,4EÂ,41
60,$WÂ,NÂ,32Â,R.IÂ,1D05F9C0Â,4EÂ,3FÂ,B65Â,4Â,0Â,4Â,T1TÂ,FAAÂ,T2TÂ,EECÂ,T3Â,105EÂ,T4TÂ,1040Â,4EÂ,41
61,$WÂ,NÂ,33Â,R.IÂ,1D105668Â,4EÂ,3EÂ,B65Â,3Â,F0Â,4Â,T1TÂ,FA0Â,T2TÂ,ED8Â,T3Â,1054Â,T4TÂ,102CÂ,4EÂ,41
62,$WÂ,NÂ,34Â,R.IÂ,1D1846ACÂ,4EÂ,3EÂ,B65Â,1Â,A0Â,4Â,T1TÂ,F96Â,T2TÂ,EC4Â,T3Â,104AÂ,T4TÂ,1018Â,4EÂ,40
63,$WÂ,NÂ,35Â,R.IÂ,1D216D86Â,4EÂ,3EÂ,B65Â,4Â,0Â,4Â,T1TÂ,F8CÂ,T2TÂ,EC4Â,T3Â,1036Â,T4TÂ,100EÂ,4EÂ,41
64,$WÂ,NÂ,36Â,R.IÂ,1D2A964AÂ,4FÂ,3EÂ,B64Â,5Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,EB0Â,T3Â,102CÂ,T4TÂ,100EÂ,4FÂ,41
65,$WÂ,NÂ,37Â,R.IÂ,1D33BD92Â,4FÂ,3EÂ,B64Â,7Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,EA6Â,T3Â,1022Â,T4TÂ,FF0Â,4FÂ,41
66,$WÂ,NÂ,38Â,R.IÂ,1D3CF36CÂ,4FÂ,3DÂ,B65Â,4Â,0Â,4Â,T1TÂ,F78Â,T2TÂ,E9CÂ,T3Â,1022Â,T4TÂ,FF0Â,4FÂ,40
67,$WÂ,NÂ,39Â,R.IÂ,1D460E7AÂ,4FÂ,3EÂ,B64Â,4Â,0Â,4Â,T1TÂ,F6EÂ,T2TÂ,E9CÂ,T3Â,1018Â,T4TÂ,FE6Â,4FÂ,40
68,$WÂ,NÂ,3AÂ,R.IÂ,1D4F4058Â,4EÂ,3EÂ,B64Â,4Â,0Â,4Â,T1TÂ,F6EÂ,T2TÂ,E9CÂ,T3Â,1018Â,T4TÂ,FE6Â,4EÂ,40
